index	question	answer	task	image_relation	image_type	counterpart_idx	image_path	A	B	C	D	E
20	Among these map images, which one depicts overlapping geographic regions like <image>?	D	Geographic Understanding	Overall Similarity	Map	21	['00000020_00.jpg', '00000020_01.jpg', '00000020_02.jpg', '00000020_03.jpg']	<image>	None of the choices provided	<image>	<image>	
21	Among these map images, which one depicts overlapping geographic regions like <image>?	B	Geographic Understanding	Overall Similarity	Map	20	['00000021_00.jpg', '00000021_01.jpg', '00000021_02.jpg', '00000021_03.jpg']	<image>	None of the choices provided	<image>	<image>	
22	Select the map image that represents geographic regions overlapping with <image>.	D	Geographic Understanding	Overall Similarity	Map	23	['00000022_00.jpg', '00000022_01.jpg', '00000022_02.jpg', '00000022_03.jpg']	<image>	<image>	None of the choices provided	<image>	
23	Select the map image that represents geographic regions overlapping with <image>.	C	Geographic Understanding	Overall Similarity	Map	22	['00000023_00.jpg', '00000023_01.jpg', '00000023_02.jpg', '00000023_03.jpg']	<image>	<image>	None of the choices provided	<image>	
24	Which map image showcases overlapping geographical regions, akin to <image>?	C	Geographic Understanding	Overall Similarity	Map	25	['00000024_00.jpg', '00000024_01.jpg', '00000024_02.jpg', '00000024_03.jpg']	<image>	<image>	<image>	None of the choices provided	
25	Which map image showcases overlapping geographical regions, akin to <image>?	B	Geographic Understanding	Overall Similarity	Map	24	['00000025_00.jpg', '00000025_01.jpg', '00000025_02.jpg', '00000025_03.jpg']	<image>	None of the choices provided	<image>	<image>	
26	Determine the map image that shares overlapping geographic features with <image>.	C	Geographic Understanding	Overall Similarity	Map	27	['00000026_00.jpg', '00000026_01.jpg', '00000026_02.jpg', '00000026_03.jpg']	<image>	<image>	<image>	None of the choices provided	
27	Determine the map image that shares overlapping geographic features with <image>.	D	Geographic Understanding	Overall Similarity	Map	26	['00000027_00.jpg', '00000027_01.jpg', '00000027_02.jpg', '00000027_03.jpg']	<image>	<image>	<image>	None of the choices provided	
28	Which map image displays geographic regions that overlap with those in <image>?	D	Geographic Understanding	Overall Similarity	Map	29	['00000028_00.jpg', '00000028_01.jpg', '00000028_02.jpg', '00000028_03.jpg']	<image>	<image>	None of the choices provided	<image>	
29	Which map image displays geographic regions that overlap with those in <image>?	D	Geographic Understanding	Overall Similarity	Map	28	['00000029_00.jpg', '00000029_01.jpg', '00000029_02.jpg', '00000029_03.jpg']	<image>	<image>	<image>	None of the choices provided	
30	Determine the map image that shares overlapping geographic features with <image>.	D	Geographic Understanding	Overall Similarity	Map	31	['00000030_00.jpg', '00000030_01.jpg', '00000030_02.jpg', '00000030_03.jpg']	<image>	None of the choices provided	<image>	<image>	
31	Determine the map image that shares overlapping geographic features with <image>.	B	Geographic Understanding	Overall Similarity	Map	30	['00000031_00.jpg', '00000031_01.jpg', '00000031_02.jpg', '00000031_03.jpg']	<image>	None of the choices provided	<image>	<image>	
32	Among these map images, which one depicts overlapping geographic regions like <image>?	D	Geographic Understanding	Overall Similarity	Map	33	['00000032_00.jpg', '00000032_01.jpg', '00000032_02.jpg', '00000032_03.jpg']	<image>	<image>	None of the choices provided	<image>	
33	Among these map images, which one depicts overlapping geographic regions like <image>?	D	Geographic Understanding	Overall Similarity	Map	32	['00000033_00.jpg', '00000033_01.jpg', '00000033_02.jpg', '00000033_03.jpg']	<image>	<image>	<image>	None of the choices provided	
34	Among these map images, which one depicts overlapping geographic regions like <image>?	B	Geographic Understanding	Overall Similarity	Map	35	['00000034_00.jpg', '00000034_01.jpg', '00000034_02.jpg', '00000034_03.jpg']	<image>	<image>	None of the choices provided	<image>	
35	Among these map images, which one depicts overlapping geographic regions like <image>?	D	Geographic Understanding	Overall Similarity	Map	34	['00000035_00.jpg', '00000035_01.jpg', '00000035_02.jpg', '00000035_03.jpg']	<image>	<image>	<image>	None of the choices provided	
36	Which map image contains overlapping geographical areas, similar to those in <image>?	C	Geographic Understanding	Overall Similarity	Map	37	['00000036_00.jpg', '00000036_01.jpg', '00000036_02.jpg', '00000036_03.jpg']	None of the choices provided	<image>	<image>	<image>	
37	Which map image contains overlapping geographical areas, similar to those in <image>?	C	Geographic Understanding	Overall Similarity	Map	36	['00000037_00.jpg', '00000037_01.jpg', '00000037_02.jpg', '00000037_03.jpg']	<image>	<image>	None of the choices provided	<image>	
38	Find the map image that exhibits overlapping geographic features akin to <image>.	A	Geographic Understanding	Overall Similarity	Map	39	['00000038_00.jpg', '00000038_01.jpg', '00000038_02.jpg', '00000038_03.jpg']	<image>	<image>	<image>	None of the choices provided	
39	Find the map image that exhibits overlapping geographic features akin to <image>.	D	Geographic Understanding	Overall Similarity	Map	38	['00000039_00.jpg', '00000039_01.jpg', '00000039_02.jpg', '00000039_03.jpg']	<image>	<image>	<image>	None of the choices provided	
40	Which map image showcases overlapping geographical regions, akin to <image>?	A	Geographic Understanding	Overall Similarity	Map	41	['00000040_00.jpg', '00000040_01.jpg', '00000040_02.jpg', '00000040_03.jpg']	<image>	<image>	<image>	None of the choices provided	
41	Which map image showcases overlapping geographical regions, akin to <image>?	A	Geographic Understanding	Overall Similarity	Map	40	['00000041_00.jpg', '00000041_01.jpg', '00000041_02.jpg', '00000041_03.jpg']	None of the choices provided	<image>	<image>	<image>	
42	Find the map image that illustrates geographic areas overlapping with those in <image>.	B	Geographic Understanding	Overall Similarity	Map	43	['00000042_00.jpg', '00000042_01.jpg', '00000042_02.jpg', '00000042_03.jpg']	<image>	<image>	<image>	None of the choices provided	
43	Find the map image that illustrates geographic areas overlapping with those in <image>.	B	Geographic Understanding	Overall Similarity	Map	42	['00000043_00.jpg', '00000043_01.jpg', '00000043_02.jpg', '00000043_03.jpg']	<image>	None of the choices provided	<image>	<image>	
44	Find the map image that exhibits overlapping geographic features akin to <image>.	D	Geographic Understanding	Overall Similarity	Map	45	['00000044_00.jpg', '00000044_01.jpg', '00000044_02.jpg', '00000044_03.jpg']	<image>	<image>	None of the choices provided	<image>	
45	Find the map image that exhibits overlapping geographic features akin to <image>.	C	Geographic Understanding	Overall Similarity	Map	44	['00000045_00.jpg', '00000045_01.jpg', '00000045_02.jpg', '00000045_03.jpg']	<image>	<image>	None of the choices provided	<image>	
46	Select the map image that represents geographic regions overlapping with <image>.	A	Geographic Understanding	Overall Similarity	Map	47	['00000046_00.jpg', '00000046_01.jpg', '00000046_02.jpg', '00000046_03.jpg']	<image>	None of the choices provided	<image>	<image>	
47	Select the map image that represents geographic regions overlapping with <image>.	A	Geographic Understanding	Overall Similarity	Map	46	['00000047_00.jpg', '00000047_01.jpg', '00000047_02.jpg', '00000047_03.jpg']	None of the choices provided	<image>	<image>	<image>	
48	Which map image contains overlapping geographical areas, similar to those in <image>?	A	Geographic Understanding	Overall Similarity	Map	49	['00000048_00.jpg', '00000048_01.jpg', '00000048_02.jpg', '00000048_03.jpg']	<image>	<image>	<image>	None of the choices provided	
49	Which map image contains overlapping geographical areas, similar to those in <image>?	B	Geographic Understanding	Overall Similarity	Map	48	['00000049_00.jpg', '00000049_01.jpg', '00000049_02.jpg', '00000049_03.jpg']	<image>	None of the choices provided	<image>	<image>	
50	Which map image contains overlapping geographical areas, similar to those in <image>?	C	Geographic Understanding	Overall Similarity	Map	51	['00000050_00.jpg', '00000050_01.jpg', '00000050_02.jpg', '00000050_03.jpg']	<image>	<image>	<image>	None of the choices provided	
51	Which map image contains overlapping geographical areas, similar to those in <image>?	D	Geographic Understanding	Overall Similarity	Map	50	['00000051_00.jpg', '00000051_01.jpg', '00000051_02.jpg', '00000051_03.jpg']	<image>	<image>	<image>	None of the choices provided	
52	Find the map image that exhibits overlapping geographic features akin to <image>.	A	Geographic Understanding	Overall Similarity	Map	53	['00000052_00.jpg', '00000052_01.jpg', '00000052_02.jpg', '00000052_03.jpg']	<image>	<image>	<image>	None of the choices provided	
53	Find the map image that exhibits overlapping geographic features akin to <image>.	C	Geographic Understanding	Overall Similarity	Map	52	['00000053_00.jpg', '00000053_01.jpg', '00000053_02.jpg', '00000053_03.jpg']	<image>	<image>	None of the choices provided	<image>	
54	Among these map images, which one depicts overlapping geographic regions like <image>?	A	Geographic Understanding	Overall Similarity	Map	55	['00000054_00.jpg', '00000054_01.jpg', '00000054_02.jpg', '00000054_03.jpg']	<image>	None of the choices provided	<image>	<image>	
55	Among these map images, which one depicts overlapping geographic regions like <image>?	C	Geographic Understanding	Overall Similarity	Map	54	['00000055_00.jpg', '00000055_01.jpg', '00000055_02.jpg', '00000055_03.jpg']	<image>	<image>	None of the choices provided	<image>	
56	Determine the map image that shares overlapping geographic features with <image>.	A	Geographic Understanding	Overall Similarity	Map	57	['00000056_00.jpg', '00000056_01.jpg', '00000056_02.jpg', '00000056_03.jpg']	<image>	<image>	<image>	None of the choices provided	
57	Determine the map image that shares overlapping geographic features with <image>.	B	Geographic Understanding	Overall Similarity	Map	56	['00000057_00.jpg', '00000057_01.jpg', '00000057_02.jpg', '00000057_03.jpg']	<image>	None of the choices provided	<image>	<image>	
58	Determine the map image that shares overlapping geographic features with <image>.	C	Geographic Understanding	Overall Similarity	Map	59	['00000058_00.jpg', '00000058_01.jpg', '00000058_02.jpg', '00000058_03.jpg']	<image>	<image>	<image>	None of the choices provided	
59	Determine the map image that shares overlapping geographic features with <image>.	B	Geographic Understanding	Overall Similarity	Map	58	['00000059_00.jpg', '00000059_01.jpg', '00000059_02.jpg', '00000059_03.jpg']	<image>	None of the choices provided	<image>	<image>	
60	Find the map image that illustrates geographic areas overlapping with those in <image>.	C	Geographic Understanding	Overall Similarity	Map	61	['00000060_00.jpg', '00000060_01.jpg', '00000060_02.jpg', '00000060_03.jpg']	<image>	None of the choices provided	<image>	<image>	
61	Find the map image that illustrates geographic areas overlapping with those in <image>.	C	Geographic Understanding	Overall Similarity	Map	60	['00000061_00.jpg', '00000061_01.jpg', '00000061_02.jpg', '00000061_03.jpg']	<image>	<image>	None of the choices provided	<image>	
62	Among these map images, which one depicts overlapping geographic regions like <image>?	B	Geographic Understanding	Overall Similarity	Map	63	['00000062_00.jpg', '00000062_01.jpg', '00000062_02.jpg', '00000062_03.jpg']	<image>	<image>	<image>	None of the choices provided	
63	Among these map images, which one depicts overlapping geographic regions like <image>?	A	Geographic Understanding	Overall Similarity	Map	62	['00000063_00.jpg', '00000063_01.jpg', '00000063_02.jpg', '00000063_03.jpg']	None of the choices provided	<image>	<image>	<image>	
64	Which map image displays geographic regions that overlap with those in <image>?	B	Geographic Understanding	Overall Similarity	Map	65	['00000064_00.jpg', '00000064_01.jpg', '00000064_02.jpg', '00000064_03.jpg']	<image>	<image>	None of the choices provided	<image>	
65	Which map image displays geographic regions that overlap with those in <image>?	A	Geographic Understanding	Overall Similarity	Map	64	['00000065_00.jpg', '00000065_01.jpg', '00000065_02.jpg', '00000065_03.jpg']	None of the choices provided	<image>	<image>	<image>	
66	Which map image showcases overlapping geographical regions, akin to <image>?	B	Geographic Understanding	Overall Similarity	Map	67	['00000066_00.jpg', '00000066_01.jpg', '00000066_02.jpg', '00000066_03.jpg']	<image>	<image>	None of the choices provided	<image>	
67	Which map image showcases overlapping geographical regions, akin to <image>?	A	Geographic Understanding	Overall Similarity	Map	66	['00000067_00.jpg', '00000067_01.jpg', '00000067_02.jpg', '00000067_03.jpg']	None of the choices provided	<image>	<image>	<image>	
68	Which map image showcases overlapping geographical regions, akin to <image>?	A	Geographic Understanding	Overall Similarity	Map	69	['00000068_00.jpg', '00000068_01.jpg', '00000068_02.jpg', '00000068_03.jpg']	<image>	<image>	<image>	None of the choices provided	
69	Which map image showcases overlapping geographical regions, akin to <image>?	B	Geographic Understanding	Overall Similarity	Map	68	['00000069_00.jpg', '00000069_01.jpg', '00000069_02.jpg', '00000069_03.jpg']	<image>	None of the choices provided	<image>	<image>	
70	Which map image contains overlapping geographical areas, similar to those in <image>?	D	Geographic Understanding	Overall Similarity	Map	71	['00000070_00.jpg', '00000070_01.jpg', '00000070_02.jpg', '00000070_03.jpg']	<image>	<image>	None of the choices provided	<image>	
71	Which map image contains overlapping geographical areas, similar to those in <image>?	A	Geographic Understanding	Overall Similarity	Map	70	['00000071_00.jpg', '00000071_01.jpg', '00000071_02.jpg', '00000071_03.jpg']	None of the choices provided	<image>	<image>	<image>	
72	Determine the map image that shares overlapping geographic features with <image>.	C	Geographic Understanding	Overall Similarity	Map	73	['00000072_00.jpg', '00000072_01.jpg', '00000072_02.jpg', '00000072_03.jpg']	<image>	<image>	<image>	None of the choices provided	
73	Determine the map image that shares overlapping geographic features with <image>.	B	Geographic Understanding	Overall Similarity	Map	72	['00000073_00.jpg', '00000073_01.jpg', '00000073_02.jpg', '00000073_03.jpg']	<image>	None of the choices provided	<image>	<image>	
74	Select the map image that represents geographic regions overlapping with <image>.	B	Geographic Understanding	Overall Similarity	Map	75	['00000074_00.jpg', '00000074_01.jpg', '00000074_02.jpg', '00000074_03.jpg']	None of the choices provided	<image>	<image>	<image>	
75	Select the map image that represents geographic regions overlapping with <image>.	B	Geographic Understanding	Overall Similarity	Map	74	['00000075_00.jpg', '00000075_01.jpg', '00000075_02.jpg', '00000075_03.jpg']	<image>	None of the choices provided	<image>	<image>	
76	Select the map image that represents geographic regions overlapping with <image>.	B	Geographic Understanding	Overall Similarity	Map	77	['00000076_00.jpg', '00000076_01.jpg', '00000076_02.jpg', '00000076_03.jpg']	None of the choices provided	<image>	<image>	<image>	
77	Select the map image that represents geographic regions overlapping with <image>.	A	Geographic Understanding	Overall Similarity	Map	76	['00000077_00.jpg', '00000077_01.jpg', '00000077_02.jpg', '00000077_03.jpg']	None of the choices provided	<image>	<image>	<image>	
78	Which map image showcases overlapping geographical regions, akin to <image>?	C	Geographic Understanding	Overall Similarity	Map	79	['00000078_00.jpg', '00000078_01.jpg', '00000078_02.jpg', '00000078_03.jpg']	<image>	<image>	<image>	None of the choices provided	
79	Which map image showcases overlapping geographical regions, akin to <image>?	A	Geographic Understanding	Overall Similarity	Map	78	['00000079_00.jpg', '00000079_01.jpg', '00000079_02.jpg', '00000079_03.jpg']	None of the choices provided	<image>	<image>	<image>	
80	Determine the map image that shares overlapping geographic features with <image>.	C	Geographic Understanding	Overall Similarity	Map	81	['00000080_00.jpg', '00000080_01.jpg', '00000080_02.jpg', '00000080_03.jpg']	None of the choices provided	<image>	<image>	<image>	
81	Determine the map image that shares overlapping geographic features with <image>.	A	Geographic Understanding	Overall Similarity	Map	80	['00000081_00.jpg', '00000081_01.jpg', '00000081_02.jpg', '00000081_03.jpg']	None of the choices provided	<image>	<image>	<image>	
82	Which map image showcases overlapping geographical regions, akin to <image>?	D	Geographic Understanding	Overall Similarity	Map	83	['00000082_00.jpg', '00000082_01.jpg', '00000082_02.jpg', '00000082_03.jpg']	<image>	None of the choices provided	<image>	<image>	
83	Which map image showcases overlapping geographical regions, akin to <image>?	D	Geographic Understanding	Overall Similarity	Map	82	['00000083_00.jpg', '00000083_01.jpg', '00000083_02.jpg', '00000083_03.jpg']	<image>	<image>	<image>	None of the choices provided	
84	Which map image showcases overlapping geographical regions, akin to <image>?	D	Geographic Understanding	Overall Similarity	Map	85	['00000084_00.jpg', '00000084_01.jpg', '00000084_02.jpg', '00000084_03.jpg']	<image>	<image>	None of the choices provided	<image>	
85	Which map image showcases overlapping geographical regions, akin to <image>?	C	Geographic Understanding	Overall Similarity	Map	84	['00000085_00.jpg', '00000085_01.jpg', '00000085_02.jpg', '00000085_03.jpg']	<image>	<image>	None of the choices provided	<image>	
86	Select the map image that represents geographic regions overlapping with <image>.	B	Geographic Understanding	Overall Similarity	Map	87	['00000086_00.jpg', '00000086_01.jpg', '00000086_02.jpg', '00000086_03.jpg']	<image>	<image>	<image>	None of the choices provided	
87	Select the map image that represents geographic regions overlapping with <image>.	B	Geographic Understanding	Overall Similarity	Map	86	['00000087_00.jpg', '00000087_01.jpg', '00000087_02.jpg', '00000087_03.jpg']	<image>	None of the choices provided	<image>	<image>	
88	Which map image contains overlapping geographical areas, similar to those in <image>?	D	Geographic Understanding	Overall Similarity	Map	89	['00000088_00.jpg', '00000088_01.jpg', '00000088_02.jpg', '00000088_03.jpg']	None of the choices provided	<image>	<image>	<image>	
89	Which map image contains overlapping geographical areas, similar to those in <image>?	D	Geographic Understanding	Overall Similarity	Map	88	['00000089_00.jpg', '00000089_01.jpg', '00000089_02.jpg', '00000089_03.jpg']	<image>	<image>	<image>	None of the choices provided	
90	Find the map image that exhibits overlapping geographic features akin to <image>.	D	Geographic Understanding	Overall Similarity	Map	91	['00000090_00.jpg', '00000090_01.jpg', '00000090_02.jpg', '00000090_03.jpg']	None of the choices provided	<image>	<image>	<image>	
91	Find the map image that exhibits overlapping geographic features akin to <image>.	D	Geographic Understanding	Overall Similarity	Map	90	['00000091_00.jpg', '00000091_01.jpg', '00000091_02.jpg', '00000091_03.jpg']	<image>	<image>	<image>	None of the choices provided	
92	Among these map images, which one depicts overlapping geographic regions like <image>?	D	Geographic Understanding	Overall Similarity	Map	93	['00000092_00.jpg', '00000092_01.jpg', '00000092_02.jpg', '00000092_03.jpg']	None of the choices provided	<image>	<image>	<image>	
93	Among these map images, which one depicts overlapping geographic regions like <image>?	D	Geographic Understanding	Overall Similarity	Map	92	['00000093_00.jpg', '00000093_01.jpg', '00000093_02.jpg', '00000093_03.jpg']	<image>	<image>	<image>	None of the choices provided	
94	Which map image displays geographic regions that overlap with those in <image>?	D	Geographic Understanding	Overall Similarity	Map	95	['00000094_00.jpg', '00000094_01.jpg', '00000094_02.jpg', '00000094_03.jpg']	<image>	<image>	None of the choices provided	<image>	
95	Which map image displays geographic regions that overlap with those in <image>?	B	Geographic Understanding	Overall Similarity	Map	94	['00000095_00.jpg', '00000095_01.jpg', '00000095_02.jpg', '00000095_03.jpg']	<image>	None of the choices provided	<image>	<image>	
96	Which map image displays geographic regions that overlap with those in <image>?	B	Geographic Understanding	Overall Similarity	Map	97	['00000096_00.jpg', '00000096_01.jpg', '00000096_02.jpg', '00000096_03.jpg']	<image>	<image>	<image>	None of the choices provided	
97	Which map image displays geographic regions that overlap with those in <image>?	C	Geographic Understanding	Overall Similarity	Map	96	['00000097_00.jpg', '00000097_01.jpg', '00000097_02.jpg', '00000097_03.jpg']	<image>	<image>	None of the choices provided	<image>	
98	Which map image showcases overlapping geographical regions, akin to <image>?	B	Geographic Understanding	Overall Similarity	Map	99	['00000098_00.jpg', '00000098_01.jpg', '00000098_02.jpg', '00000098_03.jpg']	<image>	<image>	<image>	None of the choices provided	
99	Which map image showcases overlapping geographical regions, akin to <image>?	C	Geographic Understanding	Overall Similarity	Map	98	['00000099_00.jpg', '00000099_01.jpg', '00000099_02.jpg', '00000099_03.jpg']	<image>	<image>	None of the choices provided	<image>	
100	How many other garments besides a complete mitten pair are shown in each image? <image> <image>	E	Counting	Partial Similarity	Photography	101	['00000100_00.jpg', '00000100_01.jpg']	Four	Two	Three	None of the choices provided	Zero
101	How many other garments besides a complete mitten pair are shown in each image? <image> <image>	D	Counting	Partial Similarity	Photography	100	['00000101_00.jpg', '00000101_01.jpg']	Four	Three	One	None of the choices provided	Two
102	How many girls wearing matching knitted mittens and cap, with her hands pointing up towards her face, and a large pompom on her hat, are there in each image? <image> <image>	D	Counting	Partial Similarity	Photography	103	['00000102_00.jpg', '00000102_01.jpg']	Four	Two	Three	One	None of the choices provided
103	How many girls wearing matching knitted mittens and cap, with her hands pointing up towards her face, and a large pompom on her hat, are there in each image? <image> <image>	D	Counting	Partial Similarity	Photography	102	['00000103_00.jpg', '00000103_01.jpg']	Two	Three	Four	None of the choices provided	Zero
104	How many girls wearing matching knitted mittens and cap, with her hands pointing up towards her face, and a large pompom on her hat, are there in each image? <image> <image>	D	Counting	Partial Similarity	Photography	105	['00000104_00.jpg', '00000104_01.jpg']	None of the choices provided	Four	Three	One	Two
105	How many girls wearing matching knitted mittens and cap, with her hands pointing up towards her face, and a large pompom on her hat, are there in each image? <image> <image>	E	Counting	Partial Similarity	Photography	104	['00000105_00.jpg', '00000105_01.jpg']	Three	Two	Zero	Four	None of the choices provided
106	How many hands with gloves on them are there in the image? <image> <image>	A	Counting	Partial Similarity	Photography	107	['00000106_00.jpg', '00000106_01.jpg']	Two	Four	One	Three	None of the choices provided
107	How many hands with gloves on them are there in the images? <image> <image>	A	Counting	Partial Similarity	Photography	106	['00000107_00.jpg', '00000107_01.jpg']	None of the choices provided	Zero	One	Three	Four
108	How many hands with gloves on them are there? <image> <image>	E	Counting	Partial Similarity	Photography	109	['00000108_00.jpg', '00000108_01.jpg']	None of the choices provided	Four	One	Three	Two
109	How many hands with gloves on them are there? <image> <image>	A	Counting	Partial Similarity	Photography	108	['00000109_00.jpg', '00000109_01.jpg']	None of the choices provided	Three	One	Zero	Four
110	How many phones are there in total? <image> <image>	B	Counting	Partial Similarity	Photography	111	['00000110_00.jpg', '00000110_01.jpg']	Four	Two	One	Three	None of the choices provided
111	How many phones are there in total? <image> <image>	E	Counting	Partial Similarity	Photography	110	['00000111_00.jpg', '00000111_01.jpg']	Three	Four	One	Zero	None of the choices provided
112	How many dogs are touching their muzzles together in one of the images? <image> <image>	B	Counting	Partial Similarity	Photography	113	['00000112_00.jpg', '00000112_01.jpg']	One	Two	Four	Three	None of the choices provided
113	How many dogs are touching their muzzles together in one of the images? <image> <image>	E	Counting	Partial Similarity	Photography	112	['00000113_00.jpg', '00000113_01.jpg']	Four	Zero	Three	One	None of the choices provided
114	How many dogs are touching their muzzles together in one of the images? <image> <image>	D	Counting	Partial Similarity	Photography	115	['00000114_00.jpg', '00000114_01.jpg']	Three	None of the choices provided	Four	Two	One
115	How many dogs are touching their muzzles together in one of the images? <image> <image>	C	Counting	Partial Similarity	Photography	114	['00000115_00.jpg', '00000115_01.jpg']	Four	Three	None of the choices provided	Zero	One
116	How many beagle puppies are there in each image? <image> <image>	C	Counting	Partial Similarity	Photography	117	['00000116_00.jpg', '00000116_01.jpg']	None of the choices provided	Two	One	Three	Four
117	How many beagle puppies are there in each image? <image> <image>	C	Counting	Partial Similarity	Photography	116	['00000117_00.jpg', '00000117_01.jpg']	Zero	Four	None of the choices provided	Two	Three
118	How many halves of an orange are there? <image> <image>	D	Counting	Partial Similarity	Photography	119	['00000118_00.jpg', '00000118_01.jpg']	Four	None of the choices provided	Three	Two	One
119	How many halves of an orange are there? <image> <image>	C	Counting	Partial Similarity	Photography	118	['00000119_00.jpg', '00000119_01.jpg']	Zero	Three	None of the choices provided	Four	One
120	How many birds are perched on a branch in each pair of images? <image> <image>	C	Counting	Partial Similarity	Photography	121	['00000120_00.jpg', '00000120_01.jpg']	Two	Five	Four	Three	None of the choices provided
121	How many birds are perched on a branch in each pair of images? <image> <image>	C	Counting	Partial Similarity	Photography	120	['00000121_00.jpg', '00000121_01.jpg']	Three	Five	None of the choices provided	Two	One
122	How many dogs are sleeping on their back in a belly up position in one of the images? <image> <image>	C	Counting	Partial Similarity	Photography	123	['00000122_00.jpg', '00000122_01.jpg']	Two	None of the choices provided	One	Three	Four
